Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
7898167,5.23e-06,7.88e-05,-2.7982229,CTRC
7898176,2.09e-05,0.000234865,-2.2827218,CELA2A
7898184,1.49e-05,0.000180215,-2.2770016,CELA2B
7898713,3.12e-05,0.000323382,-2.0730927,CELA3B
7898721,7.62e-06,0.000106336,-2.2031489,nan
7898723,5.95e-06,8.77e-05,-1.334766,nan
7898725,3.96e-05,0.000392996,-2.2463916,CELA3A
7898732,1.78e-06,3.34e-05,-2.6473031,nan
7898734,6.97e-06,9.9e-05,-1.7924258,nan
7903414,0.000380527,0.00239543,-1.4497996,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
7903425,0.000271497,0.001818945,-1.1618016,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
7903440,0.000271497,0.001818945,-1.1618016,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
7903592,2.45e-08,1.14e-06,-2.0721882,KIAA1324
7904843,1.7e-06,3.23e-05,-1.3329436,PDZK1P1///PDZK1
7908597,2.64e-07,7.35e-06,-2.0610724,NR5A2
7908610,1.22e-07,4.09e-06,-2.2167042,nan
7908917,2.39e-10,2.97e-08,-1.1710536,BTG2
7909681,3.39e-10,3.96e-08,-1.1566953,PROX1
7910915,2.36e-05,0.000258937,-1.0729804,CHRM3
7913768,0.000109547,0.000886196,-1.1288124,IL22RA1
7917304,5.57e-09,3.56e-07,-1.1641287,MCOLN3
7918134,0.000271495,0.001818945,-1.1618022,AMY2B///AMY2A///AMY1C///AMY1B///AMY1A
7922130,2.03e-06,3.68e-05,-1.0727789,DPT
7922598,6.69e-11,1.18e-08,-1.1579211,ANGPTL1
7922846,7.58e-07,1.72e-05,-1.0048831,FAM129A
7923837,1.06e-05,0.000136537,-1.380062,PM20D1
7924309,2.83e-09,2.1e-07,-1.1041791,ESRRG
7925342,1.23e-10,1.78e-08,-1.9621349,ERO1B
7930714,2.66e-08,1.21e-06,-1.1040269,ATRNL1
7930777,0.00017197,0.001271998,-2.1445176,PNLIP///COL1A2
7930790,3.57e-06,5.73e-05,-3.0266571,PNLIPRP1
7930804,7.72e-06,0.00010739,-2.8201451,PNLIPRP2
7933194,1.46e-11,3.62e-09,-1.1287498,CXCL12
7934936,3.76e-09,2.61e-07,-1.8661882,SLC16A12
7936798,2.55e-05,0.000275011,-2.6258753,FAM24B-CUZD1///CUZD1
7937079,9.5e-06,0.000126149,-1.093632,BNIP3
7938687,1.06e-06,2.26e-05,-1.0996724,NUCB2
7944793,7.74e-07,1.75e-05,-1.6139998,OR8D4
7944795,1.35e-06,2.7e-05,-1.1183533,OR4D5
7946579,2.14e-05,0.000238826,-1.2742767,LYVE1
7947496,1.08e-05,0.00013888,-1.0052447,SLC1A2
7948249,1e-06,2.16e-05,-1.1801271,SLC43A1
7949320,9.6e-06,0.00012718,-1.10197,GPHA2
7951910,2.7e-07,7.49e-06,-1.2745662,BACE1
7954377,5.86e-09,3.7e-07,-2.809762,IAPP
7956229,2.94e-06,4.92e-05,-1.2896791,SLC39A5
7957221,9.2e-07,2.01e-05,-1.680468,TRHDE
7961524,2.74e-06,4.67e-05,-2.5885804,ERP27
7961580,2.04e-11,4.76e-09,-1.3596111,LMO3
7965884,5.32e-06,7.98e-05,-1.0185951,PAH
7967034,3.4e-05,0.000347256,-2.3100656,PLA2G1B
7976073,1.01e-09,9.41e-08,-1.1848582,FLRT2
7976322,4.77e-05,0.000455938,-1.02353,CHGA
7976350,1.6e-09,1.35e-07,-1.1597007,UNC79
7976488,0.000113388,0.000909028,-1.0333527,SERPINA5
7980906,4.75e-05,0.000454741,-1.4430053,nan
7983718,5.97e-07,1.42e-05,-1.2012936,SCG3
7986195,2.18e-08,1.03e-06,-1.1493667,SV2B
7988414,0.000103579,0.000849256,-1.6627798,GATM
7988987,0.000197582,0.001410683,-1.1098869,ONECUT1
7989473,4.12e-07,1.05e-05,-1.2225682,C2CD4B
7990555,1.51e-05,0.000181992,-1.6338384,NRG4
7991034,3.35e-06,5.44e-05,-1.248792,HOMER2
7991335,3.75e-07,9.7e-06,-1.8945569,ANPEP
7991815,7.99e-07,1.79e-05,-2.1084087,PDIA2
7993126,3.05e-08,1.35e-06,-1.0759596,ABAT
7994252,2.58e-06,4.46e-05,-1.5447562,AQP8
7997264,0.000107975,0.000877076,-2.0336349,CTRB2///CTRB1
7999920,1.27e-05,0.00015823,-2.793808,GP2
8001531,7.81e-06,0.000108408,-1.2238896,MT1G
8002121,2.81e-06,4.77e-05,-2.2352664,CTRL
8002283,1.07e-07,3.68e-06,-1.8966689,TMED6
8002845,7.12e-05,0.00062862,-2.2068669,CTRB2///CTRB1
8009493,8.35e-06,0.000113812,-1.5883822,KCNJ16
