Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
1552365_at,0.00155173,0.002798458,1.14543722,SCIN
1552486_s_at,2.48e-08,3.36e-07,1.05617172,LACTB
1552502_s_at,4.14e-08,4.79e-07,1.17563806,RHBDL2
1552619_a_at,1.54e-06,6.94e-06,1.3095382,ANLN
1552658_a_at,6.33e-06,2.21e-05,1.09906596,NAV3
1552701_a_at,0.000296306,0.000626882,1.01032288,CARD16
1552703_s_at,0.00012581,0.000291026,1.50039517,CARD16///CASP1
1553043_a_at,3.7e-07,2.3e-06,1.11523113,CD300LF
1553117_a_at,1.62e-09,5e-08,1.20656784,STK38
1553275_s_at,4.31e-10,1.89e-08,1.40849889,nan
1553530_a_at,2.42e-12,3.14e-10,1.50918385,ITGB1
1553589_a_at,0.000210958,0.000461919,1.04424371,PDZK1IP1
1553613_s_at,5.31e-07,3.03e-06,1.01155423,FOXC1
1553678_a_at,1.72e-11,1.5e-09,1.68585298,ITGB1
1554018_at,2.55e-14,8.39e-12,2.5794427,GPNMB
1554168_a_at,1.64e-09,5.06e-08,1.64605772,SH3KBP1
1554195_a_at,2.08e-07,1.51e-06,1.20936678,C5orf46
1554452_a_at,4.02e-09,9.46e-08,1.05606639,HILPDA
1554464_a_at,4.99e-08,5.46e-07,1.13309797,CRTAP
1554474_a_at,1.91e-14,6.64e-12,2.18898897,MOXD1
1554741_s_at,1.19e-05,3.75e-05,1.02459129,FGF7P3///FGF7P6///FGF7
1554899_s_at,2.34e-07,1.64e-06,2.18844361,FCER1G
1555136_at,3.54e-09,8.65e-08,1.08683382,FGD6
1555137_a_at,2.93e-13,5.88e-11,1.41699994,FGD6
1555203_s_at,0.000107791,0.000253964,1.27453752,SLC44A4
1555229_a_at,3.27e-09,8.22e-08,2.06477701,C1S
1555326_a_at,6.33e-12,6.88e-10,1.71106472,ADAM9
1555349_a_at,3.45e-08,4.21e-07,1.4699493,ITGB2
1555420_a_at,5.79e-11,3.96e-09,1.41681171,KLF7
1555564_a_at,5.99e-10,2.41e-08,1.82347849,CFI
1555579_s_at,4.91e-08,5.41e-07,1.05646557,PTPRM
1555630_a_at,1.88e-11,1.6e-09,1.86562557,NARR///RAB34
1555638_a_at,3.86e-05,0.000103199,1.27870607,SAMSN1
1555705_a_at,7.55e-13,1.24e-10,1.18845544,CMTM3
1555724_s_at,1.51e-08,2.39e-07,1.64547435,TAGLN
1555728_a_at,1.58e-06,7.1e-06,1.72872217,MS4A4A
1555730_a_at,3.86e-06,1.46e-05,1.17332612,CFL1
1555731_a_at,7.17e-07,3.82e-06,1.16589507,AP1S3
1555745_a_at,0.000288971,0.000612864,2.03901382,LYZ
1555756_a_at,3.8e-07,2.35e-06,1.76155507,CLEC7A
1555778_a_at,6.28e-16,5.35e-13,4.89865857,POSTN
1555797_a_at,3.69e-07,2.3e-06,1.03662157,ARPC5
1555812_a_at,8.16e-06,2.74e-05,1.70207624,ARHGDIB
1555847_a_at,3.41e-07,2.17e-06,1.01746058,MIR24-2///MIR23A///LOC284454
1555852_at,0.000121123,0.000281492,1.29840808,PSMB8-AS1
1555938_x_at,0.000286544,0.000608302,1.108891,VIM
1555950_a_at,9.32e-09,1.72e-07,1.65095758,CD55
1555997_s_at,2.08e-11,1.75e-09,1.00217799,IGFBP5
1556051_a_at,1.22e-11,1.16e-09,1.29108554,BICD1
1556055_at,4.15e-12,4.87e-10,1.09561841,nan
1556423_at,5.87e-11,4e-09,1.66101529,VASH1
1556499_s_at,6.88e-13,1.16e-10,2.53436896,COL1A1
1556656_at,2.99e-12,3.71e-10,1.07059519,nan
1556821_x_at,9.63e-07,4.8e-06,1.75788319,DLEU2
1556935_at,4.2e-10,1.85e-08,1.28696434,nan
1557049_at,5.93e-12,6.53e-10,1.42344944,BTBD19
1557051_s_at,7.77e-07,4.07e-06,1.08903173,HOTAIRM1
1557079_at,1.63e-10,9.06e-09,1.50822664,ITGBL1
1557080_s_at,5.64e-14,1.58e-11,2.89798924,ITGBL1
1557432_at,4.01e-11,2.99e-09,1.55261063,RASAL2
1557527_at,1.97e-12,2.67e-10,1.66322206,nan
1557688_at,7.51e-08,7.25e-07,1.17796894,nan
1557938_s_at,3.81e-07,2.35e-06,1.00934114,PTRF
1558028_x_at,3.78e-07,2.34e-06,1.20045841,NORAD
1558034_s_at,1.4e-08,2.28e-07,2.17631976,CP
1558199_at,1.89e-12,2.59e-10,1.99468725,FN1
1558680_s_at,5.22e-09,1.14e-07,1.4656841,PDE1A
1558732_at,2.96e-11,2.32e-09,1.14572504,MAP4K4
1558828_s_at,3.38e-07,2.16e-06,1.54487749,CARMN
1559529_at,4.48e-13,8.17e-11,1.1057572,PTK2
1559584_a_at,0.001164271,0.002156387,1.3146094,C16orf54
1561180_at,1.98e-13,4.35e-11,1.24379889,nan
1561689_at,3.86e-14,1.17e-11,1.25712573,nan
1562031_at,5.88e-06,2.07e-05,1.00031685,JAK2
1563209_a_at,4.42e-07,2.64e-06,1.00223588,MACROD2
1563357_at,3.29e-05,8.99e-05,1.3309854,nan
1565566_a_at,1.71e-05,5.12e-05,1.14701179,nan
1565717_s_at,1.12e-05,3.57e-05,1.10257706,FUS
1566342_at,1.24e-07,1.04e-06,1.12857009,SOD2
1566959_at,8.92e-06,2.95e-05,1.0308306,nan
1567107_s_at,2.51e-11,2.05e-09,1.10287916,TPM4
1567628_at,5.43e-07,3.08e-06,1.47351454,CD74
1568574_x_at,1.08e-09,3.73e-08,1.81421965,SPP1
1568619_s_at,4.76e-18,1.74e-14,1.05152015,ITPRIPL2
1568765_at,2.06e-06,8.75e-06,1.47174161,SERPINE1
1568955_at,8.25e-09,1.57e-07,1.00608397,SRGAP2C///SRGAP2B///SRGAP2
1569003_at,3.15e-05,8.65e-05,1.01988466,VMP1
1569149_at,2.08e-12,2.81e-10,1.03294923,PDLIM7
1569150_x_at,1.03e-12,1.6e-10,1.09833488,PDLIM7
1569344_a_at,1.31e-05,4.09e-05,1.51620008,LOC105375172
1569652_at,8.46e-09,1.6e-07,1.05733407,MLLT3
1570165_at,2.05e-09,5.93e-08,1.36912974,nan
1570259_at,6.28e-10,2.51e-08,1.04860347,LIMS1
200600_at,4.25e-09,9.87e-08,1.73900199,MSN
200625_s_at,5.41e-09,1.16e-07,1.25629254,CAP1
200634_at,3.75e-06,1.43e-05,1.00307038,PFN1
200638_s_at,2.92e-07,1.93e-06,1.07719938,YWHAZ
200644_at,4.53e-09,1.03e-07,1.33026174,MARCKSL1
200650_s_at,8.36e-08,7.82e-07,1.24682864,LDHA
200660_at,1.13e-14,4.48e-12,2.09390153,S100A11
200661_at,2.41e-12,3.13e-10,1.07778781,CTSA
200665_s_at,3.78e-13,7.17e-11,3.00860648,SPARC
200697_at,2.89e-10,1.4e-08,1.50010029,HK1
200736_s_at,1.91e-10,1.02e-08,1.25388376,GPX1
200755_s_at,2.59e-14,8.39e-12,1.19099335,CALU
200762_at,1.01e-08,1.82e-07,1.28867459,DPYSL2
200771_at,1.86e-10,1e-08,1.34763689,LAMC1
200787_s_at,3.33e-09,8.32e-08,1.23387381,PEA15
200788_s_at,1.71e-09,5.22e-08,1.29121214,PEA15
200801_x_at,4.23e-09,9.83e-08,1.23029834,ACTB
200808_s_at,2.34e-09,6.52e-08,1.22809509,ZYX
200832_s_at,7.54e-09,1.48e-07,1.78751763,SCD
200838_at,2.16e-10,1.12e-08,1.64519997,CTSB
200839_s_at,1.61e-10,8.95e-09,1.49617344,CTSB
200859_x_at,7.05e-10,2.74e-08,1.28803383,FLNA
200872_at,1.65e-11,1.44e-09,1.57655831,S100A10
200897_s_at,1.22e-10,7.15e-09,2.00188633,PALLD
