Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
200906_s_at,1.31e-11,1.22e-09,1.92308036,PALLD
200907_s_at,1.46e-11,1.32e-09,2.17428733,PALLD
200916_at,2.01e-09,5.84e-08,1.01534835,TAGLN2
200923_at,1.75e-10,9.51e-09,1.65259894,LGALS3BP
200931_s_at,5.29e-09,1.15e-07,1.05094253,VCL
200974_at,1.5e-09,4.72e-08,1.93572421,ACTA2
200986_at,6.53e-13,1.11e-10,1.52175461,SERPING1
200989_at,3.67e-10,1.68e-08,1.0761395,HIF1A
201005_at,1.03e-11,9.98e-10,1.4828883,CD9
201012_at,5.75e-10,2.34e-08,2.11301686,ANXA1
201015_s_at,5.39e-09,1.16e-07,1.01367966,JUP
201020_at,1.58e-11,1.4e-09,1.07460144,YWHAH
201037_at,6.34e-11,4.25e-09,1.52318443,PFKP
201042_at,3.96e-14,1.19e-11,2.2285221,TGM2
201058_s_at,6.43e-09,1.32e-07,2.18040183,MYL9
201063_at,2.35e-11,1.93e-09,1.4762562,RCN1
201069_at,6.23e-14,1.71e-11,2.53058143,MMP2
201088_at,3.49e-08,4.26e-07,1.3491201,KPNA2
201090_x_at,5.32e-09,1.15e-07,1.32224341,TUBA1B
201105_at,4.02e-12,4.75e-10,2.24791927,LGALS1
201108_s_at,6.56e-09,1.34e-07,1.83454989,THBS1
201109_s_at,7.85e-08,7.49e-07,2.1288811,THBS1
201110_s_at,4.03e-08,4.69e-07,2.19996919,THBS1
201124_at,2.05e-13,4.45e-11,1.13097465,ITGB5
201125_s_at,1.49e-17,3.69e-14,1.45427848,ITGB5
201137_s_at,3.13e-06,1.23e-05,1.23104968,HLA-DPB1
201141_at,8.83e-13,1.42e-10,2.43979091,GPNMB
201147_s_at,4.07e-11,3.02e-09,1.80741323,TIMP3
201149_s_at,1.11e-09,3.79e-08,1.33939408,TIMP3
201150_s_at,4.7e-09,1.06e-07,1.41924189,TIMP3
201162_at,1.09e-11,1.05e-09,1.74677128,IGFBP7
201163_s_at,7.31e-09,1.45e-07,1.19830723,IGFBP7
201169_s_at,2.55e-11,2.07e-09,1.41460274,BHLHE40
201170_s_at,4.61e-12,5.29e-10,1.68756003,BHLHE40
201185_at,1.57e-13,3.55e-11,1.51944716,HTRA1
201189_s_at,2.15e-09,6.12e-08,1.12579643,ITPR3
201201_at,2.51e-12,3.22e-10,1.27974272,CSTB
201212_at,3.92e-06,1.48e-05,1.25653309,LGMN
201215_at,5.2e-10,2.18e-08,1.11093374,PLS3
201231_s_at,3.31e-09,8.28e-08,1.16792983,ENO1
201250_s_at,7.97e-08,7.56e-07,1.41478683,SLC2A1
201251_at,1.09e-14,4.4e-12,1.53410463,PKM
201261_x_at,1.37e-14,5.11e-12,2.29437433,BGN
201262_s_at,3.87e-13,7.32e-11,1.61702033,BGN
201279_s_at,4.04e-07,2.47e-06,1.03434129,LOC101926921///DAB2
201286_at,4.32e-09,9.97e-08,1.38169418,SDC1
201287_s_at,3.02e-10,1.44e-08,1.30438235,SDC1
201288_at,3.7e-06,1.41e-05,1.54211323,ARHGDIB
201289_at,0.000152174,0.000344833,1.13488472,CYR61
201291_s_at,7.5e-06,2.55e-05,1.53469645,TOP2A
201292_at,3.2e-06,1.25e-05,1.48965862,TOP2A
201307_at,2.83e-10,1.38e-08,1.14252591,11-Sep
201309_x_at,9.3e-14,2.41e-11,2.00442981,NREP
201310_s_at,2.97e-15,1.45e-12,2.15124006,NREP
201313_at,1.92e-11,1.62e-09,1.6129782,ENO2
201315_x_at,1.65e-09,5.1e-08,1.43816174,IFITM2
201324_at,2.79e-06,1.12e-05,1.37055842,EMP1
201325_s_at,9.2e-06,3.02e-05,1.25208063,EMP1
201328_at,0.000218993,0.000477696,1.10558747,ETS2
201340_s_at,2.73e-11,2.19e-09,1.6018507,ENC1
201341_at,3.06e-13,6.1e-11,1.19392758,ENC1
201387_s_at,5.65e-08,5.97e-07,1.00449616,UCHL1
201389_at,1.17e-07,9.93e-07,1.05356188,ITGA5
201416_at,2.09e-15,1.13e-12,1.71825209,SOX4
201417_at,3.38e-13,6.68e-11,1.54271507,SOX4
201422_at,1.72e-09,5.22e-08,1.44014082,IFI30///PIK3R2
201426_s_at,1.75e-06,7.68e-06,1.01721885,VIM
201428_at,3.14e-05,8.62e-05,1.05948066,CLDN4
201430_s_at,2.51e-12,3.22e-10,2.07228295,DPYSL3
201431_s_at,1.81e-12,2.52e-10,2.01701306,DPYSL3
201438_at,1.66e-14,6.01e-12,2.74867636,COL6A3
201467_s_at,2.38e-08,3.26e-07,1.65712931,NQO1
201468_s_at,5.89e-07,3.28e-06,1.55021834,NQO1
201473_at,1.19e-07,1.01e-06,1.13560197,JUNB
201474_s_at,1.9e-09,5.59e-08,1.32864472,ITGA3
201487_at,4.4e-07,2.63e-06,1.125248,CTSC
201505_at,6.01e-11,4.08e-09,1.67962563,LAMB1
201506_at,8.37e-11,5.27e-09,1.89345065,TGFBI
201508_at,3.25e-11,2.51e-09,1.66456825,IGFBP4
201525_at,5.89e-07,3.28e-06,1.63931412,APOD
201548_s_at,8.67e-14,2.28e-11,1.02219258,KDM5B
201560_at,6.33e-09,1.3e-07,1.08135356,CLIC4
201579_at,8e-08,7.59e-07,1.18860968,FAT1
201584_s_at,4.14e-06,1.55e-05,1.01761335,DDX39A
201590_x_at,3.44e-14,1.08e-11,1.34082936,ANXA2
201601_x_at,1.38e-08,2.26e-07,1.56250444,IFITM2///IFITM1
201616_s_at,9.83e-11,5.97e-09,1.91404159,CALD1
201617_x_at,3e-10,1.44e-08,1.90308265,CALD1
201621_at,2.37e-10,1.2e-08,1.59285832,NBL1
201631_s_at,2.57e-09,6.95e-08,1.16360324,IER3
201641_at,1.66e-10,9.2e-09,1.56415353,BST2
201645_at,9.27e-05,0.000222292,1.7788398,TNC
201649_at,2.11e-07,1.52e-06,1.09661253,UBE2L6
201650_at,1.75e-12,2.45e-10,3.71089111,KRT19
201655_s_at,2.4e-13,5.07e-11,1.08044527,HSPG2
201663_s_at,3.25e-07,2.09e-06,1.01178833,SMC4
201664_at,1.92e-07,1.42e-06,1.04956998,SMC4
201666_at,7.26e-15,3.1e-12,3.08903446,TIMP1
201667_at,1.38e-08,2.25e-07,1.75172124,GJA1
201697_s_at,3e-07,1.97e-06,1.21360902,DNMT1
201718_s_at,5.86e-07,3.26e-06,1.17177939,EPB41L2
201719_s_at,5.95e-08,6.18e-07,1.19990533,EPB41L2
201720_s_at,8.71e-07,4.45e-06,1.43321604,LAPTM5
201721_s_at,3.68e-08,4.41e-07,2.03416566,LAPTM5
201743_at,1.34e-08,2.21e-07,1.79019952,CD14
201744_s_at,8.53e-11,5.36e-09,1.75492825,LUM
201792_at,1.77e-17,4.04e-14,2.70716438,AEBP1
201798_s_at,1.44e-14,5.29e-12,2.42275972,MYOF
201809_s_at,4.5e-09,1.02e-07,1.07856558,ENG
201818_at,5.7e-07,3.19e-06,1.03829183,LPCAT1
201830_s_at,1.61e-07,1.25e-06,1.08111983,NET1
201842_s_at,3.54e-08,4.29e-07,1.5472924,EFEMP1
201843_s_at,1.64e-08,2.53e-07,1.75532031,EFEMP1
201850_at,3.97e-18,1.55e-14,2.23018436,CAPG
201852_x_at,6.75e-14,1.84e-11,3.29360301,COL3A1
201858_s_at,2.59e-05,7.32e-05,1.49337634,SRGN
201859_at,3.36e-06,1.3e-05,1.21580422,SRGN
201860_s_at,4.06e-12,4.78e-10,2.53990857,PLAT
201874_at,3.77e-14,1.15e-11,1.0036188,MPZL1
201876_at,7.48e-10,2.86e-08,1.13858202,PON2
201884_at,3.52e-06,1.36e-05,2.76526848,CEACAM5
201887_at,9.08e-10,3.28e-08,1.07791699,IL13RA1
201888_s_at,8.36e-10,3.1e-08,1.04056169,IL13RA1
201890_at,0.000259749,0.000556737,1.16791205,RRM2
201893_x_at,3.12e-08,3.92e-07,1.52296169,DCN
201920_at,2.07e-09,5.95e-08,1.37878937,SLC20A1
201925_s_at,2.59e-09,6.99e-08,1.96983227,CD55
201926_s_at,7.08e-09,1.42e-07,1.58597208,CD55
201930_at,1.23e-06,5.82e-06,1.01401513,MCM6
201935_s_at,1.66e-10,9.2e-09,1.03065046,EIF4G3
201939_at,2.41e-07,1.68e-06,1.10234862,PLK2
201954_at,7.35e-10,2.82e-08,1.57074169,ARPC1B
201998_at,3.03e-05,8.35e-05,1.01579914,ST6GAL1
202006_at,2.31e-09,6.44e-08,1.44050578,PTPN12
202007_at,1.04e-07,9.12e-07,1.64823775,NID1
202023_at,6.7e-08,6.69e-07,1.02529284,EFNA1
202043_s_at,6.95e-10,2.71e-08,1.25895714,SMS
202052_s_at,3.93e-10,1.77e-08,1.43740669,RAI14
202068_s_at,5.71e-06,2.02e-05,1.09675223,LDLR
202071_at,4.22e-10,1.86e-08,1.0310046,SDC4
202086_at,3.12e-09,7.92e-08,1.53093501,MX1
202096_s_at,3.65e-13,7.06e-11,1.00497764,TSPO
202133_at,2.44e-08,3.33e-07,1.0753713,WWTR1
202141_s_at,1.06e-11,1.02e-09,1.1387931,COPS8
202145_at,5.73e-16,5.31e-13,1.55464196,LY6E
202149_at,2.05e-05,5.97e-05,1.07031237,NEDD9
202157_s_at,0.000272426,0.000581264,1.07533486,CELF2
202180_s_at,1.73e-09,5.24e-08,1.05446132,MVP
202191_s_at,1.25e-08,2.11e-07,1.24244428,GAS7
202196_s_at,2.89e-14,9.25e-12,1.85141335,DKK3
202202_s_at,1.68e-09,5.16e-08,2.24851263,LAMA4
202206_at,7.32e-10,2.82e-08,2.08572158,ARL4C
202207_at,8.91e-10,3.25e-08,2.28539065,ARL4C
202234_s_at,6.11e-05,0.000154123,1.01909131,SLC16A1
202237_at,4.9e-11,3.49e-09,2.6916206,LOC101928916///NNMT
202238_s_at,7.59e-11,4.95e-09,2.44667366,LOC101928916///NNMT
202267_at,5.81e-14,1.61e-11,2.76409391,LAMC2
202269_x_at,8.58e-07,4.4e-06,1.9095403,GBP1
202270_at,3.08e-06,1.21e-05,1.79651306,GBP1
202273_at,4.28e-14,1.27e-11,1.79856183,PDGFRB
202283_at,1.46e-07,1.16e-06,1.34008172,SERPINF1
202286_s_at,5.74e-10,2.34e-08,2.79312475,TACSTD2
202291_s_at,1.47e-09,4.66e-08,1.64979771,MGP
202305_s_at,9.29e-07,4.67e-06,1.12393582,FEZ2
202307_s_at,3.04e-07,1.99e-06,1.13555167,TAP1
202310_s_at,2.09e-15,1.13e-12,4.25082175,COL1A1
202311_s_at,1.29e-15,8.62e-13,4.12964869,COL1A1
202351_at,8.55e-12,8.59e-10,1.21297352,ITGAV
202357_s_at,1.28e-10,7.48e-09,1.89991372,CFB
202363_at,3.22e-15,1.51e-12,2.22614255,SPOCK1
202369_s_at,1.79e-08,2.7e-07,1.09426876,TRAM2
202370_s_at,1.79e-09,5.36e-08,1.15533473,CBFB
202381_at,2.27e-12,2.99e-10,1.81698939,ADAM9
202391_at,6.96e-08,6.87e-07,1.90257888,BASP1
202403_s_at,7.82e-15,3.25e-12,3.02451923,COL1A2
202404_s_at,3.22e-15,1.51e-12,4.19573736,COL1A2
202409_at,0.001080766,0.002014395,1.07057432,INS-IGF2///IGF2
202411_at,1.69e-10,9.28e-09,2.24277682,IFI27
202422_s_at,2.81e-08,3.67e-07,1.05235431,ACSL4
202430_s_at,3.27e-07,2.1e-06,1.03749469,PLSCR1
202435_s_at,2.6e-09,6.99e-08,2.37492379,CYP1B1
202436_s_at,1.19e-09,3.97e-08,2.77272785,CYP1B1
202437_s_at,1.31e-09,4.26e-08,3.08096199,CYP1B1
202439_s_at,5.79e-12,6.39e-10,1.2845868,IDS
202446_s_at,1.53e-09,4.8e-08,1.32172361,PLSCR1
202450_s_at,1.97e-13,4.34e-11,2.61423967,CTSK
202457_s_at,2.51e-09,6.84e-08,1.00142582,PPP3CA
202458_at,2.44e-11,2e-09,1.40751156,PRSS23
202464_s_at,6.64e-07,3.6e-06,1.41208808,PFKFB3
202465_at,1.3e-11,1.22e-09,1.66698501,PCOLCE
202478_at,6.78e-11,4.51e-09,1.85306002,TRIB2
202479_s_at,1.09e-08,1.92e-07,1.16631182,TRIB2
202489_s_at,2.34e-07,1.65e-06,1.80033698,FXYD3
202498_s_at,1.02e-05,3.3e-05,1.18292218,SLC2A3
202499_s_at,3.78e-08,4.49e-07,2.12116506,SLC2A3
202504_at,8.22e-11,5.23e-09,2.00085653,TRIM29
202510_s_at,1.03e-09,3.59e-08,1.53800991,TNFAIP2
202555_s_at,7.75e-07,4.07e-06,1.40340428,MYLK
202565_s_at,2.07e-08,2.96e-07,1.01750727,SVIL
202566_s_at,3.02e-09,7.74e-08,1.18001319,SVIL
202598_at,6.54e-10,2.6e-08,1.07477144,S100A13
202604_x_at,2.25e-10,1.15e-08,1.14977811,ADAM10
202609_at,4.08e-08,4.74e-07,1.26288377,EPS8
202619_s_at,3.62e-11,2.74e-09,1.33711552,PLOD2
202620_s_at,6.95e-10,2.71e-08,1.34713926,PLOD2
202627_s_at,8.56e-08,7.97e-07,1.90110294,SERPINE1
202628_s_at,2.47e-07,1.71e-06,1.9650627,SERPINE1
202637_s_at,1.11e-06,5.37e-06,1.19310229,ICAM1
202643_s_at,2.41e-05,6.87e-05,1.28340173,TNFAIP3
202663_at,1.18e-06,5.64e-06,1.53522308,WIPF1
202664_at,2.11e-07,1.52e-06,1.85590881,WIPF1
202668_at,1.69e-08,2.59e-07,1.91450269,EFNB2
202669_s_at,2.93e-08,3.76e-07,1.32743105,EFNB2
202679_at,1.17e-10,6.91e-09,1.47973303,NPC1
202686_s_at,1.79e-09,5.36e-08,1.56075811,AXL
202728_s_at,2.41e-16,3.07e-13,1.29259693,LTBP1
202729_s_at,6.9e-18,2.1e-14,1.86951949,LTBP1
202748_at,1.18e-07,1e-06,1.28505616,GBP2
202759_s_at,1.68e-05,5.04e-05,1.06501075,PALM2-AKAP2///AKAP2
202760_s_at,1.89e-06,8.19e-06,1.50165362,PALM2-AKAP2///AKAP2
202765_s_at,6.76e-12,7.21e-10,2.3060154,FBN1
202766_s_at,4.08e-12,4.8e-10,2.72664461,FBN1
202771_at,2.77e-11,2.21e-09,1.24843148,PIEZO1
202779_s_at,6.38e-08,6.47e-07,1.01996401,UBE2S
202800_at,1.06e-08,1.88e-07,1.38417238,SLC1A3
202803_s_at,8.6e-09,1.62e-07,1.9204162,ITGB2
202806_at,9.84e-12,9.67e-10,1.09487072,DBN1
202820_at,1.22e-11,1.16e-09,1.79760664,AHR
202827_s_at,2.1e-12,2.82e-10,1.19811673,MMP14
202831_at,2.3e-06,9.55e-06,2.06753479,GPX2
202833_s_at,9.02e-12,8.93e-10,2.41969907,SERPINA1
202834_at,4.29e-12,4.99e-10,1.70382947,AGT
202855_s_at,2.9e-11,2.3e-09,1.6915737,MIR6787///SLC16A3
202856_s_at,2.86e-13,5.8e-11,2.6406304,MIR6787///SLC16A3
202859_x_at,1.95e-11,1.64e-09,3.23936652,CXCL8
202869_at,2.39e-07,1.67e-06,1.21738702,OAS1
202878_s_at,3.54e-07,2.23e-06,1.51417327,CD93
202897_at,1.19e-09,3.95e-08,1.20092687,SIRPA
202901_x_at,1.22e-06,5.77e-06,1.69037179,CTSS
202902_s_at,1.73e-06,7.62e-06,1.71270597,CTSS
202934_at,4.39e-11,3.19e-09,1.54961514,HK2
202935_s_at,1.45e-05,4.46e-05,1.54718184,SOX9
202948_at,6.27e-09,1.3e-07,1.23169539,IL1R1
202949_s_at,1.59e-10,8.87e-09,1.94083541,FHL2
202951_at,1.22e-10,7.15e-09,1.27451806,STK38
202952_s_at,3.92e-09,9.29e-08,1.81573918,ADAM12
202953_at,7.26e-06,2.48e-05,1.75048822,C1QB
202957_at,1.44e-05,4.44e-05,1.50978,HCLS1
202968_s_at,4.3e-09,9.95e-08,1.05724653,DYRK2
202971_s_at,2.89e-07,1.92e-06,1.16797521,DYRK2
202988_s_at,1.51e-08,2.39e-07,2.42194855,RGS1
202994_s_at,1.86e-06,8.09e-06,1.21765074,FBLN1
202995_s_at,2.9e-07,1.93e-06,1.61833755,FBLN1
202998_s_at,1.31e-10,7.61e-09,1.61216046,LOXL2
203000_at,2.51e-06,1.02e-05,1.51635441,STMN2
203001_s_at,2.06e-08,2.95e-07,1.84608657,STMN2
203021_at,2.16e-16,2.81e-13,2.67459132,SLPI
203044_at,1.92e-09,5.64e-08,1.65083727,CHSY1
203072_at,3.47e-13,6.82e-11,1.24030964,MYO1E
203074_at,9.74e-06,3.17e-05,1.29098707,ANXA8L1///ANXA8
203083_at,2.47e-17,5e-14,3.98457919,THBS2
203085_s_at,5.29e-09,1.15e-07,1.42463868,TGFB1
203104_at,4.86e-06,1.77e-05,1.28148197,CSF1R
203108_at,2.33e-15,1.22e-12,2.98614965,GPRC5A
203131_at,1.52e-08,2.4e-07,1.46223862,PDGFRA
203140_at,3.6e-09,8.75e-08,1.30329874,BCL6
203148_s_at,1.48e-05,4.54e-05,1.24177686,TRIM14
203153_at,9.46e-08,8.56e-07,1.27349593,IFIT1
203180_at,8.96e-07,4.54e-06,1.24010466,ALDH1A3
203185_at,3.08e-06,1.21e-05,1.51357276,RASSF2
203186_s_at,2.6e-10,1.29e-08,2.07544817,S100A4
203213_at,1.19e-06,5.66e-06,1.41566754,CDK1
203231_s_at,1.68e-09,5.16e-08,1.32706738,ATXN1
203232_s_at,1.72e-10,9.41e-09,1.11963777,ATXN1
203238_s_at,1.06e-14,4.32e-12,1.59914207,NOTCH3
203256_at,9.08e-10,3.28e-08,1.50129524,CDH3
203300_x_at,7.08e-06,2.43e-05,1.03934853,AP1S2
203303_at,4.65e-12,5.31e-10,1.01306009,DYNLT3
203305_at,2.06e-07,1.5e-06,1.86118395,F13A1
203313_s_at,1.01e-13,2.55e-11,1.24523307,TGIF1
203325_s_at,3.23e-15,1.51e-12,2.9138545,COL5A1
203336_s_at,7.9e-11,5.09e-09,1.09054001,ITGB1BP1
203362_s_at,2.29e-05,6.58e-05,1.18597079,MAD2L1
203370_s_at,1.78e-13,3.97e-11,1.2827584,PDLIM7
203381_s_at,8.25e-09,1.57e-07,1.60074379,APOE
203382_s_at,5.43e-09,1.17e-07,1.68851917,APOE
203407_at,1.17e-07,9.96e-07,1.12857264,PPL
203414_at,8.42e-07,4.34e-06,1.41475592,MMD
203416_at,1.13e-05,3.59e-05,1.61843215,CD53
203417_at,3.59e-16,3.93e-13,1.98820649,MFAP2
203453_at,0.000389999,0.000803075,1.08886497,SCNN1A
203455_s_at,1.79e-07,1.35e-06,1.28255286,SAT1
203476_at,4.73e-17,8.34e-14,1.65545206,TPBG
203477_at,2.25e-09,6.33e-08,1.41667415,COL15A1
203502_at,5.71e-10,2.33e-08,1.08444725,BPGM
203504_s_at,1.2e-08,2.05e-07,1.22036568,ABCA1
203510_at,5.31e-10,2.21e-08,1.50207236,MET
203553_s_at,3.43e-09,8.47e-08,1.02818232,MAP4K5
203554_x_at,1.05e-05,3.37e-05,1.05444718,PTTG1
203561_at,2.68e-11,2.15e-09,2.05777703,FCGR2A
203562_at,6.33e-07,3.46e-06,1.19728172,FEZ1
203570_at,5.27e-16,4.97e-13,2.3375229,LOXL1
203603_s_at,1.97e-06,8.46e-06,1.55245455,ZEB2
203607_at,1.38e-11,1.27e-09,1.24248045,INPP5F
203645_s_at,4.1e-06,1.54e-05,1.67055735,CD163
203688_at,5.53e-09,1.18e-07,1.08995664,PKD2
203691_at,2.82e-07,1.89e-06,1.7138705,PI3
203693_s_at,9.88e-09,1.79e-07,1.27940869,E2F3
203695_s_at,5.21e-11,3.65e-09,1.34640952,DFNA5
203697_at,2.05e-05,5.98e-05,1.29354579,FRZB
203698_s_at,2.11e-06,8.91e-06,1.56685261,FRZB
203699_s_at,1.16e-11,1.11e-09,1.23241349,DIO2
203700_s_at,1.29e-14,4.88e-12,1.38033909,DIO2
203705_s_at,5.61e-08,5.94e-07,1.17979764,FZD7
203706_s_at,1.55e-08,2.44e-07,1.58828688,FZD7
203708_at,0.00020096,0.00044233,1.35274989,PDE4B
203726_s_at,2.39e-10,1.21e-08,2.25796154,LAMA3
