Gene-symbol,GSE15471-Adj-Pval,GSE15471-logFC,GSE16515-Adj-Pval,GSE16515-logFC,GSE28735-Adj-Pval,GSE28735-logFC
NQO1,3.26e-07,1.65712931,1.22e-05,3.2717503,4.69e-10,1.4664629
ITGA3,5.59e-08,1.32864472,1.24e-07,2.2800449,2.96e-09,1.5188551
ITGB4,2.22e-08,1.23313595,1.53e-05,2.0224383,1.37e-10,1.303354
TOP2A,2.55e-05,1.53469645,2.29e-05,2.5544429,2.39e-07,1.3128398
KRT19,2.45e-10,3.71089111,0.000193121,4.472929,3.82e-11,2.0580204
ST6GALNAC1,0.0015213,1.36196224,0.000325191,2.8412139,2.85e-07,1.028552
LAMA3,1.21e-08,2.25796154,2.64e-05,3.2913593,4.13e-11,1.3547947
SERPINB5,3.16e-07,2.32054066,1.26e-06,4.392844,3.82e-11,2.1830693
SERPINB3,8.12e-05,1.73980355,7.09e-05,2.3170412,0.000922609,1.2747167
FXYD3,1.65e-06,1.80033698,5.8e-05,2.0743889,3.17e-10,1.5452418
CEACAM5,1.36e-05,2.76526848,3.29e-07,6.2525663,6.07e-10,3.1812869
CEACAM6,5.19e-08,3.49364948,0.000256535,4.8039565,9.93e-10,2.6271224
CEACAM1,6.89e-05,1.41621839,8.54e-05,2.1000965,9.99e-09,1.292694
KCNN4,3.76e-07,1.11084866,7.85e-08,2.2400205,7.98e-13,1.0487336
ASAP2,5.15e-11,1.27142048,9.04e-06,1.4437181,8.89e-11,1.0555331
ANTXR1,2.51e-11,1.49081539,0.002296688,1.218539,2.41e-08,1.5904338
HK2,3.19e-09,1.54961514,9.45e-07,2.7161319,1.67e-08,1.3526864
IL1R2,9.11e-07,1.65352388,0.000909917,2.0617929,2.06e-06,1.0359142
SULT1C2,0.002911451,1.3303751,0.000289985,2.5881817,0.000626243,1.0128167
KYNU,7.74e-08,1.17046153,0.000181023,1.3876635,2.73e-06,1.2622391
TNFAIP6,6.96e-10,2.48765791,0.006284556,1.705081,0.000267123,1.30502
DHRS9,6.41e-07,1.25123427,2.91e-05,2.4339574,7.19e-06,1.2735449
NRP2,1.64e-07,1.65001322,0.006617105,1.0036763,4.6e-07,1.0398169
CCL20,4.71e-06,2.18836311,1.37e-05,3.3482898,6.63e-08,1.3648089
MLPH,5.93e-07,1.47717238,1.06e-06,2.748077,4.46e-13,1.4629327
MBOAT2,1.23e-09,1.12972612,4.02e-07,1.9018549,5.21e-11,1.5977576
XDH,0.009019912,1.18246116,0.001339893,2.6557398,8.17e-08,1.1333331
CAPG,1.55e-14,2.23018436,0.004445135,2.2290411,2.85e-09,1.409224
MALL,6.38e-05,1.44176733,0.001525388,2.5583935,1.06e-07,1.0471758
PLA2R1,5.67e-08,1.20222447,0.00051942,1.2000276,5.21e-07,1.1070027
FN1,2.59e-10,1.99468725,0.007632111,1.5635518,5.83e-09,2.2111
EPHA4,2.02e-08,1.47445451,0.002598344,1.280873,4.45e-07,1.1711916
MMP9,0.000964736,1.25841013,0.005113997,1.7459301,1.24e-06,1.1166764
FERMT1,2.79e-06,1.35306111,7.26e-06,2.150086,2.57e-09,1.5010753
CST1,5.6e-11,3.34647655,0.00491396,3.0382825,4.77e-08,2.0248356
