Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
7898413,3.71e-09,2.58e-07,1.3742273,PADI1
7901175,9.67e-18,9.3e-14,2.7266844,TSPAN1
7902127,3.23e-11,6.8e-09,1.0548758,SGIP1
7902541,1.77e-05,0.000206271,1.2289118,IFI44L
7908072,2.52e-18,7.27e-14,2.9016536,LAMC2
7909164,1.65e-14,2.38e-11,2.6841011,CTSE
7909708,2.13e-10,2.72e-08,1.3075462,CENPF
7915184,2.38e-12,9.81e-10,1.1258644,RHBDL2
7915472,3.47e-14,3.82e-11,1.8381029,SLC2A1
7918064,1.84e-12,8.05e-10,2.1946749,COL11A1
7919669,5.3e-13,3.33e-10,1.1160298,MTMR11
7919815,4.04e-05,0.000398665,1.0460687,CTSK
7920291,2.26e-12,9.59e-10,1.1656542,S100A16
7920297,7.68e-10,7.65e-08,1.2504989,S100A14
7920642,6.93e-06,9.86e-05,1.1236976,MUC1
7921873,7.46e-06,0.000104577,1.0251151,FCGR3B///FCGR3A
7923086,9.24e-09,5.18e-07,1.2180584,ASPM
7923850,1.48e-06,2.89e-05,1.0173151,SLC26A9
7924029,8.95e-18,9.3e-14,2.3442298,LAMB3
7927307,6.64e-09,4.06e-07,1.458856,ANXA8L1///ANXA8
7927367,6.13e-09,3.83e-07,1.4583824,ANXA8L1///ANXA8
7927631,7.89e-09,4.58e-07,1.2162724,DKK1
7928429,6.17e-10,6.36e-08,1.3743673,PLAU
7929466,1.41e-07,4.56e-06,1.4042131,CYP2C18
7930498,2.56e-09,1.95e-07,1.4634847,ACSL5
7930980,1.58e-14,2.38e-11,1.1414518,PLPP4
7933312,6.41e-09,3.97e-07,1.4950707,ANXA8L1///ANXA8
7933855,2.8e-10,3.37e-08,1.0185636,RTKN2
7934278,1.12e-09,1.02e-07,1.0465662,P4HA1///P4HA1
7934898,2.16e-10,2.73e-08,1.5765009,ANKRD22
7934906,1.72e-06,3.25e-05,1.1454927,ACTA2
7935058,1.81e-10,2.41e-08,1.3488062,MYOF
7936144,1.11e-14,2.29e-11,1.8936258,COL17A1
7936968,0.000111126,0.000895368,1.0717007,ADAM12
7937020,5.41e-09,3.49e-07,1.1643182,MKI67
7938485,3.52e-13,2.48e-10,1.2684082,MICAL2
7942135,4.03e-11,8.07e-09,1.2739089,ANO1
7944164,1.26e-15,4.28e-12,2.2573618,TMPRSS4
7945169,2.09e-08,1e-06,1.3963273,TMEM45B
7945245,2.38e-11,5.45e-09,1.0137033,NTM
7948444,2.47e-05,0.000267727,1.5896369,TCN1
7950391,4.49e-11,8.76e-09,1.0538702,PGM2L1
7950810,2.25e-10,2.83e-08,1.0928962,SYTL2
7950933,1.16e-12,6.07e-10,1.6264947,NOX4
7951217,0.000335078,0.002150596,1.2129338,MMP7
7951271,0.000247987,0.001690868,1.2251593,MMP1
7951297,7.57e-09,4.45e-07,1.7443562,MMP12
7952290,2.81e-13,2.03e-10,1.4077371,TRIM29
7953532,3.66e-09,2.57e-07,1.1134007,ENO2
7954065,6.75e-12,2.05e-09,1.1751238,GPRC5A
7954330,7.47e-05,0.000653436,1.1014516,SLCO1B3
7954527,1.8e-10,2.41e-08,1.2634424,ARNTL2
7955613,2.34e-08,1.1e-06,1.6835824,KRT7
7958884,1.12e-09,1.02e-07,1.130268,OAS1
7958913,1.16e-08,6.22e-07,1.0571731,OAS2
7960529,3.73e-07,9.69e-06,1.0022056,SCNN1A
7960919,0.000194059,0.001394299,1.0858004,MFAP5
7961142,2.46e-05,0.0002668,1.2763264,OLR1
7961215,1.36e-14,2.38e-11,1.2155107,STYK1
7962183,1.74e-09,1.45e-07,1.062622,AK4
7963410,1.99e-06,3.64e-05,1.3366273,KRT6C///KRT6B///KRT6A///KRT5
7963421,5.57e-05,0.000517537,1.0361116,KRT6A
7964907,7.07e-11,1.23e-08,1.2630898,PTPRR
7964927,1.33e-05,0.000164539,1.4074942,TSPAN8
7965390,0.000174646,0.001287834,1.0430022,EPYC
7965541,5.56e-12,1.78e-09,1.2339911,FGD6
7968800,3.8e-08,1.59e-06,1.0501716,DGKH
7969438,1.45e-11,3.62e-09,1.177314,LMO7
7969493,1.33e-12,6.44e-10,1.6301907,SCEL
7970441,8.87e-15,2.13e-11,1.0717644,GJB2
7971077,4.68e-12,1.61e-09,2.6298373,POSTN
7972713,2.76e-11,6.08e-09,1.0293451,EFNB2
7973336,1.7e-10,2.31e-08,1.325874,MMP14
7974335,2.27e-07,6.57e-06,1.202594,nan
7976443,5.41e-11,9.99e-09,1.3512633,IFI27
7978544,2.31e-12,9.67e-10,1.6243329,EGLN3
7979179,2.27e-11,5.25e-09,1.219264,ERO1A
7979307,2.49e-08,1.15e-06,1.1127349,DLGAP5
7979658,1e-06,2.16e-05,1.1878256,GPX2
7979710,3.32e-14,3.82e-11,1.2965764,PLEK2
7981514,1.33e-15,4.28e-12,1.7455516,AHNAK2
7982377,1.08e-08,5.89e-07,1.0603713,GREM1
7984001,1.62e-07,5.01e-06,1.4315447,GCNT3
7984540,1.16e-08,6.22e-07,1.0248458,KIF23
7985310,7.83e-15,2.06e-11,1.128362,ABHD17C
7985317,1.7e-12,7.81e-10,1.8033796,CEMIP
7988467,0.000237972,0.001632608,1.0233667,FBN1
7989985,2.65e-12,1.03e-09,1.3723916,ITGA11
7990151,2.46e-11,5.6e-09,1.021846,PKM
7990345,6.64e-12,2.04e-09,1.0218449,SEMA7A
7993588,3.41e-14,3.82e-11,1.285476,TMC7
7993606,7.17e-12,2.13e-09,1.0159684,nan
7993638,1.15e-08,6.15e-07,1.7178244,TMC5
7996819,1.04e-14,2.29e-11,1.6362931,CDH3
7997593,9.57e-09,5.33e-07,1.0605813,ATP2C2
8001800,1.56e-08,7.84e-07,1.4890444,CDH11
8002303,8.62e-13,4.69e-10,1.4664629,NQO1
8005449,5.87e-10,6.14e-08,1.1537338,KRT17
8006594,0.000223048,0.001550429,1.1312298,CCL18
8008237,1.07e-11,2.96e-09,1.5188551,ITGA3
8009951,1.71e-13,1.37e-10,1.303354,ITGB4
8010770,3.8e-13,2.61e-10,1.0000809,SLC16A3
8012953,5.79e-13,3.55e-10,1.0200102,TRIM16
8013042,1.68e-10,2.31e-08,1.2025138,KRT17
8014974,3.31e-09,2.39e-07,1.3128398,TOP2A
8015016,1.57e-11,3.81e-09,1.4127467,TNS4
8015349,3.58e-14,3.82e-11,2.0580204,KRT19
8015387,5.21e-10,5.59e-08,1.5417651,KRT17
8016457,6.68e-13,3.94e-10,1.0872489,HOXB5
8016646,2.32e-06,4.1e-05,1.5020929,COL1A1
8018774,4.22e-09,2.85e-07,1.028552,ST6GALNAC1
8020551,4.14e-14,4.13e-11,1.3547947,LAMA3
8020762,0.000169868,0.00125935,1.0104942,DSG3
8020779,3.93e-06,6.22e-05,1.0892258,DSG2
8021584,3.46e-14,3.82e-11,2.1830693,SERPINB5
8023696,0.000115418,0.000922609,1.2747167,SERPINB3
8027748,4.94e-13,3.17e-10,1.5452418,FXYD3
8028924,4.77e-12,1.62e-09,1.4473733,MIA-RAB4B///MIA
8029086,1.18e-12,6.07e-10,3.1812869,CEACAM5
8029098,2.44e-12,9.93e-10,2.6271224,CEACAM6
8029773,2.02e-10,2.62e-08,1.4258422,IGFL2
8033054,7.79e-08,2.87e-06,1.0387011,FUT3
8033674,3.07e-08,1.36e-06,1.2668127,MUC16
8035517,1.11e-07,3.77e-06,1.4673376,COMP
8037205,5.38e-11,9.99e-09,1.292694,CEACAM1
8037408,1.38e-16,7.98e-13,1.0487336,KCNN4
8040113,1.02e-13,8.89e-11,1.0555331,ASAP2
8041383,3.91e-08,1.62e-06,1.0574087,LTBP1
8042439,1.81e-10,2.41e-08,1.5904338,ANTXR1
8042942,1.13e-10,1.67e-08,1.3526864,HK2
8043981,5.23e-08,2.06e-06,1.0359142,IL1R2
8044080,4.19e-10,4.73e-08,1.0730247,SLC9A2
8044212,7.07e-05,0.000626243,1.0128167,SULT1C2
8045539,7.37e-08,2.73e-06,1.2622391,KYNU
8045688,2.46e-05,0.000267123,1.30502,TNFAIP6
8045835,1.24e-15,4.28e-12,2.7894651,GALNT5///GALNT5
8046124,2.55e-07,7.19e-06,1.2735449,DHRS9
8046922,1.27e-05,0.000158028,1.3701904,COL3A1
8047738,7.96e-09,4.6e-07,1.0398169,NRP2
8047763,6.05e-08,2.31e-06,1.2613624,NRP2
8048864,6.45e-10,6.63e-08,1.3648089,CCL20
8049349,1.88e-10,2.46e-08,1.5024416,UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10
8049487,6.18e-17,4.46e-13,1.4629327,MLPH
