Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
209618_at,1.13e-06,5.44e-06,-1.35788891,CTNND2
210165_at,3.44e-10,1.6e-08,-2.69700424,DNASE1
210174_at,0.000796851,0.001530576,-1.28135842,NR5A2
210328_at,7.2e-07,3.83e-06,-2.74551014,GNMT
210381_s_at,4.05e-07,2.47e-06,-1.75736771,CCKBR
210401_at,3.8e-09,9.09e-08,-1.61469267,P2RX1
210472_at,1.93e-07,1.43e-06,-1.58697434,MT1G
210524_x_at,9.49e-07,4.75e-06,-1.10505377,nan
210683_at,1.75e-06,7.71e-06,-1.13806306,NRTN
210722_at,0.002453595,0.004247145,-2.5387549,PNLIPRP1
210751_s_at,6.86e-05,0.00017079,-1.09262047,RGN
211298_s_at,0.000363852,0.00075446,-3.19196179,ALB
212279_at,0.000926236,0.001752985,-1.47613738,TMEM97
212281_s_at,0.000887632,0.001686226,-1.54180382,TMEM97
212282_at,0.000795249,0.001527927,-1.5415161,TMEM97
212594_at,2.26e-08,3.15e-07,-1.26367015,MIR4680///PDCD4
212816_s_at,2.25e-06,9.4e-06,-2.01445182,CBS
212886_at,2.01e-11,1.7e-09,-1.30010505,CCDC69
213629_x_at,7.48e-06,2.54e-05,-1.18384898,MT1F
214033_at,1.32e-05,4.1e-05,-1.01812396,LOC101930322///ABCC6P2///ABCC6P1///ABCC6
214058_at,1.43e-07,1.15e-06,-1.302636,MYCL
214078_at,0.001215794,0.002242924,-1.310468,PAK3
214116_at,2.21e-11,1.83e-09,-1.13963005,BTD
214117_s_at,2.44e-09,6.69e-08,-1.04778571,BTD
214142_at,1.32e-08,2.19e-07,-2.07788821,ZG16
214156_at,3.97e-10,1.78e-08,-1.42481833,MYRIP
214283_at,8.19e-06,2.74e-05,-1.19438379,TMEM97
214309_s_at,1.36e-06,6.29e-06,-1.54613946,nan
214325_at,1.03e-06,5.05e-06,-2.61781547,GP2
214377_s_at,0.000486323,0.000981207,-3.00886301,CTRL
214416_at,2.34e-07,1.65e-06,-2.05973304,nan
214596_at,2.61e-06,1.06e-05,-1.2987685,CHRM3
214837_at,2.69e-07,1.82e-06,-1.46077833,ALB
214842_s_at,1.46e-06,6.66e-06,-2.684988,ALB
214961_at,1.81e-06,7.9e-06,-1.61556521,MTUS2
215687_x_at,6.16e-09,1.28e-07,-1.03114791,PLCB1
215726_s_at,5.53e-08,5.89e-07,-1.12131065,CYB5A
216381_x_at,2.18e-05,6.32e-05,-1.08703392,AKR7A3
216504_s_at,5.95e-06,2.09e-05,-1.13130352,SLC39A8
216699_s_at,0.00031618,0.000664738,-2.25690227,KLK1
216733_s_at,0.000364264,0.000755201,-1.71331874,GATM
217014_s_at,0.000109992,0.000258504,-1.31512914,AZGP1P1///AZGP1
217040_x_at,1.99e-08,2.88e-07,-1.02073884,SOX15
217073_x_at,0.002711935,0.004653519,-1.08684529,APOA1
217080_s_at,0.000613344,0.00120998,-1.4104841,HOMER2
217127_at,4.84e-07,2.83e-06,-1.46036356,CTH
217165_x_at,3.1e-06,1.22e-05,-1.09161165,MT1F
217269_s_at,0.000449456,0.000912718,-1.370725,TMPRSS15
217546_at,1.82e-06,7.93e-06,-1.45637798,MT1M
217904_s_at,0.000162631,0.000366236,-1.33697382,BACE1
217966_s_at,7.39e-06,2.51e-05,-1.06645494,FAM129A
217967_s_at,2.19e-06,9.19e-06,-1.12086359,FAM129A
217977_at,5.91e-07,3.28e-06,-1.25416561,MSRB1
218025_s_at,4.94e-09,1.1e-07,-1.12510614,ECI2
218350_s_at,0.000144464,0.000329299,-1.07065291,GMNN
218692_at,0.000923073,0.001747482,-1.34053525,SYBU
218792_s_at,0.001914956,0.003389082,-1.00617578,BSPRY
219076_s_at,9.86e-11,5.98e-09,-1.04977614,PXMP2
219117_s_at,3.64e-09,8.81e-08,-1.15503532,FKBP11
219118_at,2.07e-09,5.95e-08,-1.36024493,FKBP11
219298_at,1.94e-08,2.85e-07,-1.12147267,ECHDC3
219543_at,0.000919718,0.001741974,-1.29753437,PBLD
219562_at,2.11e-05,6.14e-05,-1.18025497,RAB26
219739_at,2.22e-07,1.59e-06,-2.01306783,RNF186
219865_at,4.21e-05,0.00011122,-1.24536204,LINC00339
219869_s_at,1.53e-06,6.93e-06,-1.31404414,SLC39A8
219888_at,1.68e-06,7.45e-06,-1.2716432,SPAG4
219915_s_at,8.05e-08,7.61e-07,-2.1274537,SLC16A10
219937_at,4.05e-09,9.51e-08,-2.25612973,TRHDE
219970_at,3.5e-07,2.21e-06,-1.31886041,GIPC2
220012_at,3.67e-06,1.4e-05,-1.66023162,ERO1B
220056_at,9.12e-05,0.000218971,-1.43755817,IL22RA1
220161_s_at,8.12e-05,0.000198014,-1.70340927,EPB41L4B
220306_at,3.49e-11,2.66e-09,-1.08881223,FAM46C
220524_at,3.5e-06,1.35e-05,-1.51914416,EPB41L4B
220686_s_at,5.85e-07,3.26e-06,-1.15949075,PIWIL2
220892_s_at,2.87e-08,3.71e-07,-1.89466946,PSAT1
220951_s_at,0.001648647,0.002957147,-1.01548813,A1CF
221067_s_at,7.68e-09,1.5e-07,-1.26890813,SPX
221259_s_at,1.64e-06,7.31e-06,-1.9823185,TEX11
221377_s_at,1.07e-06,5.22e-06,-2.35782027,RBPJL
221590_s_at,9.18e-11,5.66e-09,-1.10733627,ALDH6A1
221868_at,1.49e-08,2.37e-07,-1.81299397,PAIP2B
221874_at,1.75e-05,5.23e-05,-1.58434185,KIAA1324
222102_at,7.8e-11,5.06e-09,-1.33964056,GSTA3
222278_at,9.5e-08,8.58e-07,-1.08600827,LOC101929726
222462_s_at,1.98e-05,5.81e-05,-1.61721314,BACE1
222463_s_at,2.46e-05,6.99e-05,-1.58051426,BACE1
222705_s_at,1.04e-07,9.12e-07,-1.20159481,SLC25A15
222939_s_at,4.89e-07,2.85e-06,-1.92460149,SLC16A10
223062_s_at,2.99e-08,3.81e-07,-2.37699942,PSAT1
223299_at,3.26e-08,4.04e-07,-1.02241721,SEC11C
223426_s_at,6.23e-09,1.29e-07,-1.27662689,EPB41L4B
223427_s_at,0.000160585,0.000362107,-1.69176343,EPB41L4B
223715_at,1.32e-08,2.19e-07,-1.33528013,BRSK2
223755_at,4.76e-06,1.74e-05,-1.19970787,KIRREL2
223928_s_at,3.35e-07,2.14e-06,-2.54784546,GUCA1C
224335_s_at,4.13e-06,1.55e-05,-1.64387425,BACE1
224839_s_at,1.14e-05,3.61e-05,-1.2407021,GPT2
225001_at,1.37e-06,6.31e-06,-1.0083767,RAB3D
225207_at,8.38e-06,2.79e-05,-1.37573077,PDK4
225491_at,3.29e-05,8.97e-05,-1.78419981,SLC1A2
225570_at,7.51e-07,3.97e-06,-1.08636106,SLC41A1
225571_at,1.36e-05,4.23e-05,-1.12632478,LIFR
225575_at,2.8e-06,1.12e-05,-1.12771784,LIFR
226248_s_at,7.9e-05,0.000193247,-1.97860745,KIAA1324
226388_at,9.46e-05,0.000226142,-1.25779138,TCEA3
226492_at,4.05e-07,2.47e-06,-1.31798489,SEMA6D
226811_at,1.83e-09,5.44e-08,-1.3263434,FAM46C
227194_at,0.001586539,0.0028553,-1.7059366,FAM3B
227450_at,0.001372479,0.002502928,-2.31577382,ERP27
227629_at,2.09e-08,2.98e-07,-1.77206407,PRLR
227771_at,4.24e-08,4.87e-07,-1.1726494,LIFR
227848_at,3.13e-06,1.23e-05,-1.09486042,PEBP4
228004_at,5.62e-05,0.00014312,-1.35523151,LINC00261
228469_at,7.56e-10,2.88e-08,-1.11112108,PPID
228598_at,6.58e-08,6.6e-07,-2.10610623,DPP10
229088_at,8.67e-05,0.00020968,-1.10585187,ENPP1
229449_at,1.68e-07,1.29e-06,-2.24898012,nan
229526_at,3.98e-05,0.000105975,-1.02178532,AQP11
229544_at,2.58e-09,6.95e-08,-1.17107977,nan
229778_at,1.41e-07,1.14e-06,-3.24613046,SPX
229797_at,9.02e-06,2.98e-05,-1.14369106,MCOLN3
229838_at,3.95e-07,2.42e-06,-1.0613891,NUCB2
229995_at,0.004618945,0.007578573,-2.67480758,SYCN
230084_at,8.17e-05,0.000198972,-1.17342884,SLC30A2
230265_at,1.36e-05,4.21e-05,-1.20076681,nan
230467_at,1.67e-07,1.29e-06,-2.10639108,TMEM52
230573_at,4.26e-06,1.58e-05,-1.05333,SGK2
230900_at,4.88e-07,2.85e-06,-1.83708033,CCDC110
230939_at,9.89e-06,3.21e-05,-1.11047721,nan
231050_at,1.89e-08,2.8e-07,-1.28882351,HRASLS5
231192_at,3.41e-06,1.32e-05,-1.46158793,LPAR3
231452_at,7.81e-09,1.51e-07,-1.25248202,HRASLS5
231460_at,3.15e-05,8.66e-05,-1.80826379,nan
231667_at,3.25e-09,8.18e-08,-1.59792695,SLC39A5
231686_at,3.38e-05,9.19e-05,-1.25039334,GATM
231944_at,2.33e-05,6.67e-05,-1.62417116,ERO1B
232122_s_at,0.000765559,0.001477165,-1.02339641,VEPH1
232245_at,1.09e-09,3.74e-08,-1.06788661,SLC25A34
232766_at,5.59e-07,3.15e-06,-1.11837831,BANF2
233514_x_at,1.24e-05,3.9e-05,-2.91788594,TEX11
233953_at,2.64e-07,1.8e-06,-1.07977556,GUCA1C
234110_at,2.9e-05,8.06e-05,-1.2417809,LOC283075
234296_s_at,9.33e-06,3.06e-05,-2.71543356,TEX11
234717_at,1.36e-07,1.11e-06,-1.01876518,nan
234973_at,7.53e-05,0.000185284,-1.31431232,SLC38A5
235108_at,4.87e-05,0.000126353,-1.23101989,KCNK3
235708_at,3.82e-08,4.52e-07,-1.61055164,KLB
235761_at,1.91e-07,1.42e-06,-2.00800599,nan
235915_at,0.000191752,0.000424331,-1.73087653,nan
235947_at,1.09e-05,3.48e-05,-1.94380638,LOC101930067
235965_at,3.7e-06,1.41e-05,-2.07127224,BHLHA15
236219_at,5.2e-06,1.87e-05,-1.52438652,SLC35G1
236220_at,4.24e-08,4.87e-07,-2.54125819,SLC16A10
236277_at,0.001702849,0.003046074,-1.28384452,PAK3
236351_at,4.67e-08,5.22e-07,-1.52113978,DPP10-AS1
236430_at,5.7e-05,0.000144891,-2.76897653,TMED6
236548_at,2.3e-06,9.56e-06,-1.36049223,GIPC2
236677_at,3.23e-08,4.02e-07,-1.21284552,NGB
237017_s_at,2.96e-09,7.64e-08,-1.69948899,LOC102723493
237230_at,3.32e-07,2.13e-06,-1.86728762,GPHA2
238018_at,0.000749822,0.001449871,-1.23501259,FAM150B
238177_at,2.61e-05,7.35e-05,-1.01460451,SLC6A19
238196_at,9.89e-07,4.9e-06,-1.02763706,LOC285095
238763_at,5.49e-06,1.96e-05,-1.33704573,RBM20
238778_at,5.39e-06,1.93e-05,-1.00550553,MPP7
238780_s_at,5.02e-05,0.000129658,-1.42663952,KCNJ5
239303_at,3.97e-07,2.44e-06,-1.47823774,PIWIL2
239517_at,1.16e-06,5.56e-06,-1.35490858,LOC100505984///ITGB6
239765_at,6.04e-09,1.26e-07,-1.18552851,CPEB3
239929_at,1.06e-07,9.29e-07,-2.41556837,PM20D1
241017_at,1.95e-08,2.85e-07,-1.09558674,TBC1D8///RPL31
241386_at,8.54e-06,2.84e-05,-1.09210049,LOC100506691
241505_at,2.98e-07,1.96e-06,-1.14681786,nan
241547_at,0.000214751,0.000469453,-1.11741194,A1CF
241833_at,3.19e-07,2.06e-06,-1.09966699,PEX5L
242308_at,7.88e-09,1.52e-07,-1.13701745,MCOLN3
242426_at,8.01e-07,4.17e-06,-1.60115287,NRG4
242488_at,3.13e-06,1.23e-05,-1.5344823,CHRM3
243349_at,2.52e-07,1.74e-06,-1.75262449,KIAA1324
243621_at,1.12e-07,9.68e-07,-1.66682729,SPACA3
243890_at,3.48e-06,1.34e-05,-1.04922327,nan
244276_at,6.96e-08,6.87e-07,-1.36148567,KLB
36475_at,6.9e-07,3.71e-06,-1.29786981,GCAT
38691_s_at,5.22e-07,3e-06,-1.35618267,SFTPC
396_f_at,1.15e-08,1.99e-07,-1.33459034,EPOR
50965_at,1.38e-05,4.28e-05,-1.06641807,RAB26
56256_at,1.68e-09,5.16e-08,-1.0295198,SIDT2
