Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
1552281_at,1.43e-08,2.31e-07,-1.72278685,SLC39A5
1552354_at,2.77e-08,3.63e-07,-1.42622464,CBARP
1552448_a_at,7.4e-07,3.93e-06,-1.3535443,FAM167A-AS1
1552474_a_at,2.53e-06,1.03e-05,-1.13306549,GAMT
1553131_a_at,1.52e-08,2.4e-07,-1.0059082,GATA4
1553494_at,1.28e-06,6e-06,-2.08709024,TDH
1553705_a_at,3.02e-07,1.98e-06,-1.21565011,CHRM3
1553972_a_at,5.85e-06,2.06e-05,-1.73100804,CBS
1554182_at,3.17e-08,3.96e-07,-1.17611756,TRIM74///TRIM73
1554242_a_at,8.89e-07,4.52e-06,-1.83930661,COCH
1554344_s_at,1.44e-07,1.16e-06,-1.77319312,AQP12B///AQP12A
1555151_s_at,1.37e-06,6.34e-06,-1.50496206,TDH
1555175_a_at,9.64e-05,0.000230024,-1.30003698,PBLD
1555434_a_at,2.05e-06,8.71e-06,-1.128033,SLC39A14
1556474_a_at,9.37e-07,4.7e-06,-1.58133583,LOC285097
1556554_at,2.13e-06,9.01e-06,-1.22576592,TRIM50
1558010_s_at,7.88e-07,4.12e-06,-1.01926645,SLC1A2
1559550_s_at,1.97e-07,1.45e-06,-1.17268321,nan
1559575_a_at,1.41e-06,6.49e-06,-2.50300914,AQP12B///AQP12A
1559633_a_at,1.58e-08,2.48e-07,-1.40217375,CHRM3
1559870_at,1.41e-07,1.14e-06,-1.37709826,LOC100129129
1559871_s_at,1.77e-06,7.75e-06,-1.19244623,LOC100129129
1559877_at,2.64e-06,1.07e-05,-1.15521937,LOC100289094
1560469_at,0.004781788,0.007824861,-1.42751813,NR5A2
1560698_a_at,3.47e-07,2.19e-06,-1.10429259,TRHDE-AS1
1562321_at,1.64e-08,2.53e-07,-1.88165699,PDK4
1562406_at,2.24e-09,6.32e-08,-2.22558884,nan
1562473_at,3.25e-07,2.09e-06,-2.19368004,nan
1563498_s_at,2.99e-08,3.81e-07,-1.4074456,SLC25A45
1564317_at,2.63e-08,3.49e-07,-1.46067008,nan
1564494_s_at,6.98e-05,0.000173407,-1.15559464,P4HB
1565228_s_at,9.07e-05,0.000217966,-3.3830217,ALB
201235_s_at,1.09e-07,9.47e-07,-1.01870823,BTG2
201236_s_at,2.67e-06,1.08e-05,-1.02341006,BTG2
201785_at,7.63e-06,2.59e-05,-1.21088845,RNASE1
201848_s_at,6.88e-06,2.37e-05,-1.31255588,BNIP3
201849_at,1.02e-05,3.3e-05,-1.44242146,BNIP3
201923_at,1.37e-06,6.32e-06,-1.25343962,PRDX4
202017_at,5.52e-09,1.18e-07,-1.39927233,EPHX1
202061_s_at,4.4e-06,1.63e-05,-1.23561789,SEL1L
202062_s_at,3.38e-07,2.16e-06,-1.62017027,SEL1L
202063_s_at,1.36e-07,1.11e-06,-2.37826554,SEL1L
202064_s_at,6.54e-08,6.57e-07,-1.77331653,SEL1L
202718_at,9.66e-05,0.000230401,-1.4136703,IGFBP2
202730_s_at,1.14e-08,1.98e-07,-1.06569299,MIR4680///PDCD4
202731_at,1.06e-06,5.17e-06,-1.13252557,MIR4680///PDCD4
202888_s_at,7.83e-06,2.64e-05,-2.42621752,ANPEP
203126_at,0.000236703,0.000512158,-1.50987739,IMPA2
203178_at,0.000234469,0.00050787,-1.49536289,GATM
203438_at,4.48e-06,1.65e-05,-1.25073788,STC2
203675_at,1.99e-06,8.52e-06,-1.529111,NUCB2
203881_s_at,9.37e-05,0.000224466,-1.31760754,DMD
203924_at,0.000214564,0.000469101,-1.87171685,GSTA1
204079_at,5.88e-07,3.27e-06,-1.76810362,TPST2
204364_s_at,2.67e-07,1.81e-06,-1.45000641,REEP1
204365_s_at,1.22e-07,1.02e-06,-1.21607944,REEP1
204394_at,1.98e-06,8.47e-06,-1.66833588,SLC43A1
204424_s_at,0.002554618,0.004406806,-1.05261673,LMO3
204450_x_at,0.00339867,0.00571938,-1.09289676,APOA1
204607_at,0.002736621,0.004692785,-1.48609798,HMGCS2
204745_x_at,6.14e-07,3.38e-06,-1.3722596,MT1G
204897_at,3.5e-09,8.59e-08,-1.06762385,PTGER4
204934_s_at,0.000119391,0.000278044,-1.11234403,HPN
205047_s_at,4.67e-06,1.71e-05,-1.06233241,ASNS
205082_s_at,0.000390678,0.000804289,-1.06899195,AOX1
205083_at,0.002860376,0.00488661,-1.26067602,AOX1
205111_s_at,2.28e-06,9.5e-06,-1.3977397,PLCE1
205112_at,2.45e-06,1e-05,-1.66015547,PLCE1
205164_at,2.65e-06,1.07e-05,-1.3949008,GCAT
205229_s_at,2.64e-07,1.8e-06,-1.95484243,COCH
205305_at,0.000909303,0.00172392,-1.89436601,FGL1
205309_at,2.11e-06,8.94e-06,-1.23944783,SMPDL3B
205311_at,0.003359361,0.005659489,-1.18862873,DDC
205352_at,4.83e-05,0.000125443,-1.14272034,SERPINI1
205354_at,2.77e-06,1.11e-05,-1.32680025,GAMT
205380_at,5.82e-05,0.00014753,-1.60243433,PDZK1
205412_at,6.83e-09,1.38e-07,-1.06918085,ACAT1
205420_at,2.8e-06,1.12e-05,-1.09848859,PEX7
205500_at,2.65e-08,3.51e-07,-1.78863462,C5
205517_at,2.9e-07,1.93e-06,-1.59146593,GATA4
205531_s_at,1.24e-06,5.85e-06,-1.40676181,GLS2
205756_s_at,9.29e-05,0.000222769,-1.11066971,F8
205768_s_at,2.5e-06,1.02e-05,-1.02155103,SLC27A2
205813_s_at,9.89e-08,8.83e-07,-1.32980723,MAT1A
205820_s_at,0.00138536,0.002523978,-1.12760806,APOC3
205848_at,4.98e-06,1.8e-05,-1.29130974,GAS2
205952_at,0.000853339,0.001627412,-1.28430376,KCNK3
205960_at,4.93e-07,2.87e-06,-1.7328985,PDK4
205983_at,1.64e-05,4.96e-05,-1.35845116,DPEP1
206000_at,0.000528047,0.00105739,-1.41576164,MEP1A
206068_s_at,0.000646391,0.001268309,-1.34039521,ACADL
206069_s_at,0.00010595,0.000250165,-1.309813,ACADL
206085_s_at,5.35e-09,1.16e-07,-1.08720543,CTH
206155_at,9.93e-08,8.85e-07,-1.01740741,ABCC2
206209_s_at,4.15e-08,4.79e-07,-1.45582898,CA4
206254_at,2.75e-05,7.71e-05,-2.25361836,EGF
206527_at,3.49e-08,4.26e-07,-1.04113554,ABAT
206610_s_at,2.73e-07,1.84e-06,-1.32674611,F11
206681_x_at,0.006136697,0.009833068,-2.25863799,GP2
206691_s_at,2.15e-05,6.24e-05,-2.61613826,PDIA2
206784_at,4.03e-05,0.000107046,-2.88068653,AQP8
206945_at,0.000477238,0.000964479,-1.08060622,LCT
206988_at,0.005876724,0.009450013,-1.01616592,CCL25
207051_at,9.53e-05,0.000227742,-1.02569379,SLC17A4
207077_at,0.005357787,0.008686306,-2.44864236,CELA2B
207139_at,5.32e-07,3.04e-06,-1.5483866,ATP4A
207200_at,0.000108331,0.000255049,-1.18332061,OTC
207251_at,0.004267872,0.007041853,-1.19689998,MEP1B
207567_at,8.13e-08,7.66e-07,-1.04836593,SLC13A2
207636_at,0.001096173,0.002040351,-2.97325268,SERPINI2
207843_x_at,6.63e-08,6.63e-07,-1.02907546,CYB5A
208056_s_at,1.59e-09,4.95e-08,-1.11700953,CBFA2T3
208086_s_at,4.81e-08,5.33e-07,-1.13004563,DMD
208337_s_at,8.39e-05,0.000203871,-1.44078306,NR5A2
208343_s_at,0.000192775,0.000426167,-1.55047572,NR5A2
208389_s_at,5.05e-07,2.92e-06,-1.56650038,SLC1A2
208450_at,8.78e-09,1.65e-07,-1.97731714,LGALS2
209267_s_at,5.33e-05,0.000136724,-1.20912812,SLC39A8
209309_at,0.000918597,0.001740153,-1.8356406,AZGP1
209366_x_at,1.44e-07,1.16e-06,-1.04544138,CYB5A
209368_at,1.49e-09,4.7e-08,-1.42766027,EPHX2
209459_s_at,6.6e-06,2.29e-05,-1.79719301,ABAT
209460_at,2.54e-05,7.2e-05,-1.25452086,ABAT
209522_s_at,2.3e-07,1.63e-06,-1.08301232,CRAT
209617_s_at,6.39e-05,0.00016014,-1.1145235,CTNND2
