Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
229201_at,1.15e-05,0.00047129,-1.9989158,PAK3
229312_s_at,1.35e-06,9.72e-05,-1.1780637,GKAP1
229313_at,0.000783037,0.009444343,-1.1322353,ANO5
229376_at,0.000185804,0.003522144,-1.472351,PROX1
229461_x_at,0.000170916,0.003319429,-1.0881266,NEGR1
229465_s_at,8.22e-07,6.81e-05,-1.1661494,PTPRS
229544_at,3.3e-05,0.001013953,-1.5827592,nan
229721_x_at,0.000127574,0.002703537,-1.0632953,DERL3
229797_at,1.96e-06,0.000128913,-1.6589342,MCOLN3
229963_at,0.000691154,0.008744068,-1.5326802,BEX5
230003_at,0.000215262,0.003917395,-1.0889085,SLC16A7
230081_at,0.000151119,0.003048103,-1.2196281,PLCXD3
230084_at,0.00039398,0.00603546,-1.9101783,SLC30A2
230417_at,6.16e-06,0.000298151,-1.0736967,GALNT16
230560_at,0.000214196,0.003904494,-1.2770417,STXBP6
230624_at,4.15e-05,0.001195402,-1.0700836,SLC25A27
231015_at,3.75e-05,0.001111042,-1.8350664,KLF15
231166_at,2.88e-08,5.72e-06,-1.3604118,GPR155
231262_at,0.00054475,0.007503268,-1.0242507,nan
231750_at,0.000625992,0.00818466,-1.1476231,PCDHB4
231773_at,2.62e-09,9.67e-07,-1.960278,ANGPTL1
231944_at,3.61e-07,3.61e-05,-2.5330637,ERO1B
232136_s_at,2.48e-05,0.000825228,-1.0651812,CTTNBP2
233401_at,0.000597439,0.007952209,-1.1539091,nan
233903_s_at,9.24e-05,0.00213341,-1.0126362,ARHGEF26
234192_s_at,1.53e-06,0.000107783,-1.260233,GKAP1
234980_at,0.000177542,0.003410526,-1.2345646,TMEM56
235079_at,0.000138917,0.002868312,-1.0688696,ZNF704
235201_at,7.98e-06,0.000362033,-1.283507,FOXP2
235538_at,0.000839201,0.009871046,-1.1939003,nan
235561_at,1.39e-06,9.99e-05,-1.0582363,TXNL1
235626_at,2.53e-05,0.000839374,-1.0480198,CAMK1D
235915_at,0.000335942,0.005381869,-2.6035505,nan
235965_at,0.000306812,0.005060676,-3.0952675,BHLHA15
235979_at,0.000190333,0.003589308,-1.1178795,C7
236220_at,2.39e-05,0.000803066,-2.6034778,SLC16A10
236277_at,0.000337167,0.005393589,-2.3590438,PAK3
236300_at,7.46e-05,0.001833397,-1.0513122,PDE3A
236430_at,0.000629109,0.008203633,-3.5223984,TMED6
236436_at,1.14e-05,0.000466181,-1.3558201,SLC25A45
236454_at,2.56e-06,0.000157172,-1.1862371,RNF212
236766_at,4.4e-06,0.000231908,-1.0039291,nan
237727_at,3.91e-05,0.001143308,-1.1468493,nan
238018_at,1.18e-07,1.62e-05,-3.2500833,FAM150B
238363_at,0.000153561,0.003075509,-1.0102644,nan
238658_at,1.45e-05,0.000554994,-1.1296543,nan
238751_at,3.04e-05,0.00096104,-1.7238649,SORBS2
238778_at,0.000118808,0.002571324,-1.3222645,MPP7
238780_s_at,0.000187764,0.003550672,-1.9882247,KCNJ5
238919_at,1.98e-06,0.000129947,-1.0861498,PCDH9
239183_at,1.81e-06,0.000121407,-1.5298487,ANGPTL1
239533_at,4.7e-05,0.001311375,-1.20915,GPR155
239710_at,2.62e-06,0.000159024,-1.1066589,FIGN
239946_at,2.17e-05,0.000741022,-1.6170053,nan
240259_at,0.000330165,0.005320535,-1.7151621,LOC100506718///FLRT2
240466_at,0.000151516,0.003050039,-1.3794863,nan
241365_at,1.04e-07,1.49e-05,-1.1326028,SATB1
241505_at,0.000354152,0.005585122,-1.7717289,nan
241705_at,0.000212584,0.003884191,-1.2655337,ABCA5
241791_at,0.000675089,0.008614162,-1.743124,TTN
242172_at,7.46e-05,0.001832527,-1.0718709,nan
242323_at,1.43e-05,0.000550355,-1.0405887,PLA2G12A
242384_at,1.02e-06,8.02e-05,-1.2762447,nan
242769_at,8.88e-06,0.000390675,-1.043244,nan
243256_at,0.000726638,0.009012914,-1.2625564,MKNK1
243278_at,7.71e-05,0.001875663,-1.0224058,FOXP2
243349_at,2.05e-05,0.000718374,-2.2395872,KIAA1324
243933_at,1.66e-05,0.000616255,-1.1346955,nan
244216_at,0.000552468,0.007567585,-1.4314671,nan
244276_at,0.000248659,0.004359562,-1.6540513,KLB
244370_at,6.08e-06,0.000295223,-1.1829508,KIAA2022
244697_at,1.88e-09,7.6e-07,-1.7988879,nan
37590_g_at,9.48e-08,1.4e-05,-1.1631785,nan
43427_at,2.59e-06,0.00015758,-1.300457,ACACB
49452_at,3.81e-06,0.000210541,-1.4826589,ACACB
50965_at,3.29e-05,0.001010811,-1.4967199,RAB26
56256_at,1.51e-05,0.000574877,-1.48256,SIDT2
