Gene,p.value,P.adjusted.BH,logFC,Gene.symbol
230748_at,0.00048125,0.00689649,1.4834847,SLC16A6
230795_at,3.91e-06,0.000214024,1.0501038,nan
230831_at,1.63e-07,2.02e-05,1.2406138,FRMD5
231029_at,4.43e-06,0.000232958,1.5807263,F5
231033_at,4.31e-05,0.001229824,1.2035582,DSC2
231148_at,4.37e-10,2.56e-07,2.7289549,IGFL2
231227_at,0.000695232,0.008782947,1.0436719,nan
231270_at,4.61e-05,0.001292542,1.3979511,LOC100507258///CA13
231646_at,9.77e-11,7.85e-08,4.5738708,DPCR1
231766_s_at,9.04e-05,0.002097289,2.5332343,COL12A1
231775_at,2.04e-05,0.000714777,1.1304977,TNFRSF10A
231779_at,3.54e-08,6.74e-06,1.4593542,IRAK2
231822_at,0.000188399,0.003560223,1.372173,CTTNBP2NL
231832_at,4.02e-05,0.001163777,1.4910808,POC1B-GALNT4///GALNT4
231835_at,3.9e-06,0.000213799,1.5450846,FAM213B
231879_at,7.42e-05,0.00182375,2.1831294,COL12A1
231880_at,3.29e-05,0.001011956,1.047675,STRIP2
231941_s_at,4.53e-05,0.001275185,1.846043,MUC20
232056_at,5.37e-10,2.93e-07,2.5351862,SCEL
232078_at,0.000228959,0.004102405,1.0155681,NECTIN2
232079_s_at,0.000128775,0.002722711,1.0219101,NECTIN2
232103_at,5.68e-05,0.001510623,1.130807,BPNT1
232105_at,2.04e-13,1.11e-09,2.2211996,BLACAT1
232151_at,1.77e-06,0.000119597,1.8945745,MACC1
232164_s_at,1.19e-06,8.8e-05,2.5642601,EPPK1
232165_at,3.43e-07,3.49e-05,2.7959667,EPPK1
232202_at,0.000308891,0.005079639,1.4547807,FAM83B
232213_at,0.000353449,0.005575649,1.3783681,PELI1
232290_at,2.15e-08,4.6e-06,1.4539347,nan
232304_at,0.000646379,0.00836311,1.2947829,PELI1
232321_at,0.000424392,0.006358657,2.0957738,MUC17
232331_at,3.06e-06,0.000177733,1.2319748,nan
232360_at,0.000725899,0.009005792,1.0183501,EHF
232361_s_at,1.42e-05,0.000547211,1.6289882,EHF
232375_at,1.32e-05,0.0005228,1.0397344,nan
232476_at,1.29e-06,9.33e-05,1.408623,nan
232510_s_at,3.82e-06,0.000210702,1.0649403,DPP3
232530_at,1.63e-06,0.000112973,1.5523604,PLD1
232578_at,4.02e-11,4.67e-08,5.2619969,CLDN18
232632_at,0.000574845,0.00775735,1.0874776,nan
232682_at,4e-08,7.26e-06,1.0654586,MREG
232805_at,1.79e-05,0.000653018,1.2018925,nan
232914_s_at,0.00060808,0.008044834,1.7670993,SYTL2
232977_x_at,5.98e-06,0.000291605,1.3310382,MYH14
233030_at,1.74e-05,0.000636476,1.0662465,PNPLA3
233109_at,1.04e-05,0.000440702,1.6268338,COL12A1
233177_s_at,2.38e-07,2.68e-05,1.5727324,PNKD
233487_s_at,2.03e-06,0.000132535,1.5311823,LRRC8A
233565_s_at,1.81e-05,0.000656599,2.3145387,FKBP1A-SDCBP2///SDCBP2
233690_at,0.000511271,0.007213128,1.6630198,nan
233814_at,1.45e-07,1.86e-05,2.3071302,EFNA5
233887_at,0.000210198,0.003854416,1.0466356,ADGRG6
234156_at,0.000237315,0.004214799,1.1521953,nan
234290_x_at,4.99e-06,0.000254387,1.3152989,MYH14
234370_at,1.65e-06,0.000113592,2.200699,VSIG1
234608_at,2.46e-05,0.000822886,1.3755993,LAMA3
234725_s_at,3.91e-08,7.21e-06,1.3005026,SEMA4B
234932_s_at,2.98e-07,3.2e-05,1.1391274,CDCP1
234942_s_at,3.36e-08,6.53e-06,1.461147,DNTTIP1
234963_s_at,5.33e-08,8.93e-06,1.1405638,FA2H
234992_x_at,7.23e-09,2e-06,1.2024523,ECT2
234995_at,8.22e-11,7.01e-08,1.0751174,SPICE1
235046_at,5.26e-05,0.001426128,1.4033133,INPP4B
235075_at,0.00036854,0.005739115,1.1783863,DSG3
235094_at,0.000837938,0.009858699,1.1101155,nan
235153_at,2.52e-10,1.62e-07,1.9586309,RNF183
235245_at,7.6e-05,0.001854553,1.2125568,TMEM92
235276_at,0.000295431,0.004929539,1.0685583,EPSTI1
235278_at,6.27e-05,0.001626227,1.4550867,MACROD2
235286_at,2.89e-07,3.13e-05,1.3021914,nan
235296_at,0.000388583,0.005982993,1.1320435,EIF5A2
235456_at,0.000151607,0.003050735,1.3369552,nan
235463_s_at,3.98e-05,0.001157646,1.5150323,CERS6
235476_at,1.96e-06,0.000128913,1.7844108,TRIM59///IFT80
235568_at,5.7e-05,0.00151417,1.6782182,MCEMP1
235651_at,1.59e-05,0.000598133,1.3549048,TTC22
235746_s_at,1.31e-05,0.00051942,1.2000276,PLA2R1
235871_at,4.31e-10,2.56e-07,2.3087641,LIPH
235911_at,3.21e-06,0.000185144,1.5603864,MELTF
235988_at,2.74e-06,0.000164581,1.1893599,ADGRF1
236044_at,1.33e-05,0.000525489,2.4051361,PLPP4
236129_at,2.45e-15,3.35e-11,2.8628221,GALNT5
236179_at,0.000714922,0.008911717,2.0232228,CDH11
236193_at,3.13e-07,3.31e-05,1.4025823,HIST1H2BC
236322_at,0.000131714,0.002764519,1.4609261,nan
236471_at,6.37e-08,1.03e-05,1.186893,NFE2L3
236489_at,7.31e-06,0.000341012,1.3280773,ADGRF1
236641_at,1.5e-08,3.45e-06,1.267531,KIF14
236979_at,0.000279219,0.004730626,1.567676,BCL2L15
237136_at,1.28e-07,1.7e-05,1.0558882,nan
237159_x_at,9.81e-13,3.83e-09,1.578973,AP1S3
237183_at,9.63e-11,7.85e-08,2.1362484,GALNT5
237411_at,1.1e-05,0.000455211,1.1985481,ADAMTS6
237563_s_at,3.22e-05,0.000998923,1.3479861,nan
238017_at,2.02e-12,6.49e-09,4.1847444,SDR16C5
238021_s_at,5.29e-05,0.001428696,2.0041197,CRNDE
238022_at,3.24e-05,0.001000725,1.3124839,CRNDE
238028_at,3.7e-06,0.000205877,1.3859917,C6orf132
238063_at,2.66e-05,0.000874388,1.729201,TMEM154
238075_at,7.64e-07,6.43e-05,1.1771227,CHEK1
238439_at,7.21e-06,0.000337335,2.5736723,ANKRD22
238460_at,3.4e-06,0.000193121,1.4202054,FAM83A
238462_at,0.00016507,0.003228852,1.2912338,UBASH3B
238513_at,0.000436611,0.006480723,1.1146328,PRRG4
238542_at,2.88e-12,7.16e-09,2.2522457,ULBP2
238567_at,4.07e-08,7.31e-06,2.0981529,SGPP2
238593_at,0.000191185,0.00360166,1.3326108,C11orf80
238632_at,4.28e-05,0.00122395,1.2039152,nan
238666_at,6.76e-05,0.001705748,1.0089862,nan
238673_at,1.16e-06,8.72e-05,1.1974975,SAMD12
238689_at,9.02e-12,1.59e-08,2.5153682,ADGRF1
238741_at,3.89e-06,0.00021371,1.3306769,FAM83A
238769_at,0.000440599,0.006520461,1.0782906,nan
238949_at,0.000242639,0.004284533,1.0968187,RNF145
238996_x_at,5.29e-07,4.89e-05,1.5330342,ALDOA
239196_at,1.08e-09,4.94e-07,2.1128529,ANKRD22
239272_at,8.84e-09,2.31e-06,2.1297509,MMP28
239273_s_at,2.71e-07,2.98e-05,2.3082007,MMP28
239286_at,0.000379237,0.005862239,1.2080804,CDH11
239292_at,0.000547785,0.007531768,1.1352007,nan
239332_at,1e-05,0.00042931,1.9420071,LOC105371809
239370_at,4.32e-07,4.17e-05,2.9578213,LINC01133
239381_at,8.68e-06,0.000383659,2.6052019,KLK7
239448_at,0.000243082,0.004289725,1.0720238,nan
239525_at,0.000307329,0.005064994,1.0506161,CTTNBP2NL
239579_at,1.78e-09,7.33e-07,1.2180156,EPHX4
239586_at,7.38e-07,6.28e-05,1.3965267,FAM83A
239595_at,0.000261109,0.00451604,1.0570848,GPX2
239769_at,1.16e-05,0.00047304,1.2137431,nan
239979_at,0.000416469,0.006264007,1.2284957,nan
240303_at,7.88e-08,1.21e-05,2.6388004,TMC5
240304_s_at,9.7e-06,0.000418059,3.1504488,TMC5
